,URL,Dispozice a rozměr,Cena [Kč/měsíc],Lokace,Dispozice,Rozměr [m2],Ulice,Město
0,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-slezska/2275865164,3+1 73 m²,19000,"Slezská, Zlín",3+1,73,Slezská, Zlín
1,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-malenovice-tecovska/1112744524,1+kk 26 m²,8300,"Tečovská, Zlín - Malenovice",1+kk,26,Tečovská, Zlín - Malenovice
3,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-lorencova/1472258636,2+kk 65 m²,18700,"Lorencova, Zlín",2+kk,65,Lorencova, Zlín
4,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-dlouha/1913504332,2+1 56 m²,12000,"Dlouhá, Zlín",2+1,56,Dlouhá, Zlín
5,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-vysoka/2008138316,1+1 25 m²,9000,"Vysoká, Zlín",1+1,25,Vysoká, Zlín
6,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-malenovice-zahradni/3143836236,1+kk 21 m²,14900,"Zahradní, Zlín - Malenovice",1+kk,21,Zahradní, Zlín - Malenovice
7,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-malenovice-tyrsova/2728141388,3+1 68 m²,16000,"Tyršova, Zlín - Malenovice",3+1,68,Tyršova, Zlín - Malenovice
8,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/3600556620,2+kk 96 m²,25000,"Lešetín I, Zlín",2+kk,96,Lešetín I, Zlín
10,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-beckovska/481043020,3+1 68 m²,17000,"Beckovská, Zlín",3+1,68,Beckovská, Zlín
11,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-vetrna/987308620,1+1 34 m²,10000,"Větrná, Zlín",1+1,34,Větrná, Zlín
